Transportadora,Localidade,Sigla do Ponto,Ponto Zona (sigla),Fluxo,Município,UF,Vazão Mensurável Mínima (Mm³/d),Vazão Mensurável Máxima (Mm³/d),Pressão de Recebimento Mínima (Kgf/cm2),Pressão de Recebimento Máxima (Kgf/cm2),Capacidade Técnica do Ponto (Mil m³/dia),Capacidade Comercial da Zona (Mil m³/dia),Capacidade Disponível da Zona (Mil m³/dia),Capacidade Contratada da Zona (Mil m³/dia),Tarifa Referência (R$/MMBtu)
TAG,RLAM 14,RLAM 14,BA4,Saída,São Francisco do Conde,BA,240.0,2400.0,23.0,38.0,2400.0,203.9,-1609.1,1813.0,3.832738
TAG,RLAM 6,RLAM 6,BA4,Saída,São Francisco do Conde,BA,40.0,400.0,23.0,38.0,400.0,203.9,-1609.1,1813.0,3.832738
TAG,RNEST,RNEST,PE1,Saída,Ipojuca,PE,350.0,2800.0,32.5,36.8,2800.0,1713.4,-484.6100000000001,2198.01,4.076333
TAG,Recife,Recife,PE2,Saída,São Lourenço da Mata,PE,96.0,389.0,25.0,30.0,389.0,20.3,-829.7,850.0,4.076333
TAG,Rio Largo,Rio Largo,AL,Saída,Rio Largo,AL,40.0,230.0,37.0,40.0,400.0,0.0,-86.01,86.01,3.974485
TAG,Santa Rita - Campina Grande,SR-CG,PB,Saída,Santa Rita,PB,20.0,200.0,35.0,44.0,200.0,52.8,-52.2,105.0,4.136452
TAG,Santa Rita - João Pessoa,SR-JP,PB,Saída,Santa Rita,PB,50.0,375.0,26.0,33.0,375.0,52.8,-52.2,105.0,4.136452
TAG,Socorro,Socorro,SE,Saída,Nossa Senhora do Socorro,SE,15.0,200.0,25.0,27.5,200.0,5697.0,4248.0,1449.0,3.904875
TAG,Suape,Suape,PE1,Saída,Ipojuca,PE,250.0,1200.0,25.0,30.0,1200.0,1713.4,-484.6100000000001,2198.01,4.076333
TAG,São Mateus,São Mateus,ES1,Saída,São Mateus,ES,30.0,280.0,48.5,100.0,280.0,-1481.0,-2516.91,1035.91,3.901999
TAG,São Miguel dos Campos,SMC,AL,Saída,São Miguel dos Campos,AL,5.0,50.0,34.0,45.0,50.0,0.0,-86.01,86.01,3.974485
TAG,Termoaçu,Termoaçu,RN2,Saída,Alto do Rodrigues,RN,250.0,2500.0,31.0,42.0,2500.0,509.0,-341.0,850.0,4.27274
TAG,Termobahia,Termobahia,BA4,Saída,São Francisco do Conde,BA,150.0,1500.0,23.0,51.0,1500.0,203.9,-1609.1,1813.0,3.832738
TAG,Termofortaleza,TermoForta,CE2,Saída,Caucaia,CE,216.0,1705.0,33.0,42.0,1705.0,-3125.5,-3175.5,50.0,4.381511
TAG,Termopernambuco,TermoPerna,PE1,Saída,Ipojuca,PE,275.0,2600.0,33.0,38.0,2600.0,1713.4,-484.6100000000001,2198.01,4.076333
TAG,UPGN Candeias,UPGN-Cande,BA4,Saída,São Francisco do Conde,BA,150.0,1500.0,34.0,38.0,1500.0,203.9,-1609.1,1813.0,3.832738
TAG,UTE Aparecida,UTE Aparec,AM,Saída,Manaus,AM,100.0,1200.0,45.4,60.0,1200.0,0.0,0.0,0.0,
TAG,UTE CHESF,UTE CHESF,BA3,Saída,Camaçari,BA,310.0,3100.0,21.0,27.0,3100.0,-46.0,-2745.0,2699.0,3.832738
TAG,UTE José de Alencar,UTE-JdA,CE2,Saída,Caucaia,CE,250.0,2500.0,34.0,51.0,1800.0,-3125.5,-3175.5,50.0,4.381511
TAG,UTE Linhares,UTE Linhar,ES1,Saída,Linhares,ES,130.0,1300.0,34.0,51.0,1300.0,-1481.0,-2516.91,1035.91,3.901999
TAG,UTE Mauá,UTE Mauá,AM,Saída,Manaus,AM,200.0,2125.0,36.0,50.0,2125.0,0.0,0.0,0.0,
TAG,VB-10,VB-10,ES3,Saída,Serra,ES,45.0,750.0,25.0,51.0,750.0,-131.0,-377.0,246.0,3.901999
TAG,Vale,Vale,ES2,Saída,Vitória,ES,170.0,1700.0,9.0,13.0,1700.0,-2104.5,-2960.23,855.73,3.901999
TAG,Veracel,Veracel,BA1,Saída,Eunápolis,BA,50.0,500.0,30.0,44.0,500.0,-1639.0,-1922.0,283.0,3.832738
TAG,Viana,Viana,ES1,Saída,Viana,ES,50.0,500.0,34.0,44.0,500.0,-1481.0,-2516.91,1035.91,3.901999
TAG,Vitória,Vitória,ES2,Saída,Vitória,ES,400.0,4000.0,25.0,42.0,4000.0,-2104.5,-2960.23,855.73,3.901999
TAG,Águas Claras,AguasClara,SE,Saída,Estância,SE,5.0,45.0,30.0,45.0,45.0,5697.0,4248.0,1449.0,3.904875
TBG,EMED CORUMBÁ,CBA,CBA,Entrada,Corumbá,MS,2000.0,40000.0,55.0,100.0,40000.0,30144.0,18864.85,11279.15,6.7634
TBG,EMED GASCAR,GSC,GSC,Entrada,Paulínia,SP,500.0,15000.0,55.0,100.0,15000.0,15000.0,0.0,15000.0,0.1958
TBG,Ponto de Entrada Garuva,GAR,GAR,Entrada,Garuva,SC,1.5,5.0,55.0,75.0,5.0,5000.0,5000.0,0.0,4.6061000000000005
TBG,Americana,AMR,SP2,Saída,Americana,SP,96.0,1800.0,31.5,36.8,1800.0,8711.5,775.45,7936.05,1.9266
TBG,Araricá,ARA,RS1,Saída,Araricá,RS,23.2,432.5,21.6,25.2,432.5,2409.0,0.0,2409.0,3.5066
TBG,Araucária - CIC,CIC,PR1,Saída,Araucária,PR,96.0,1800.0,31.5,36.8,1800.0,5081.0,0.0,5081.0,2.662
TBG,Araucária - UTE,ATE,PR1,Saída,Araucária,PR,96.0,2500.0,34.2,39.9,2500.0,5081.0,0.0,5081.0,2.662
TBG,Araçoiaba da Serra,AÇB,SP4,Saída,Araçoiaba da Serra,SP,23.2,432.5,31.5,36.8,432.5,557.0,443.0,114.0,1.9972
TBG,Bilac,BLC,SP1,Saída,Bilac,SP,23.2,432.5,31.5,36.8,432.5,1500.0,911.39,588.61,1.914
TBG,Boa  Esperança do Sul,BSP,SP1,Saída,Boa  Esperança do Sul,SP,96.0,1800.0,31.5,36.8,1800.0,1500.0,911.39,588.61,1.914
TBG,Brusque,BRQ,SC1,Saída,Brusque,SC,13.6,255.0,31.5,36.8,255.0,547.65,360.05,187.6,2.7391
TBG,Cachoeirinha,CCH,RS1,Saída,Cachoeirinha,RS,39.6,990.0,21.6,25.2,990.0,2409.0,0.0,2409.0,3.5066
